N;Time_Column_Major;Time_Row_Major;Time_Standart_K_times
10;1.24e-06;1.21e-06;0.00012842
100;8.8e-07;1.25e-06;3.83e-06
300;1.63e-06;1.62e-06;4.74e-06
600;1e-06;9.8e-07;3.8e-06
1000;9.9e-07;1.18e-06;3.6e-06
3000;9.7e-07;1.01e-06;3.08e-06
6000;1.64e-06;8.5e-07;3.03e-06
10000;1.1e-06;1.34e-06;4.22e-06
30000;9.8e-07;1.39e-06;5.47e-06
60000;8e-07;5.9e-07;2.08e-06
100000;6.2e-07;6.1e-07;2.1e-06
300000;6.1e-07;6e-07;2.08e-06
600000;6.1e-07;8.7e-07;2.18e-06
1000000;6.1e-07;6.1e-07;2.09e-06
