N;Time_Column_Major;Time_Row_Major;Time_Standart_K_times
10;6e-07;6.2e-07;0.00020892
100;6e-07;6e-07;8.7e-06
300;6.5e-07;6.9e-07;8.11e-06
600;6e-07;6.1e-07;8.99e-06
1000;6e-07;6.9e-07;7.78e-06
3000;1.17e-06;6.1e-07;7.98e-06
6000;6e-07;6e-07;8.23e-06
10000;7.2e-07;6.8e-07;7.89e-06
30000;6.1e-07;6.3e-07;8.07e-06
60000;6.2e-07;6.1e-07;8.09e-06
100000;6.1e-07;6.2e-07;8.06e-06
300000;6e-07;6.1e-07;8.02e-06
600000;6e-07;6.1e-07;7.78e-06
1000000;6e-07;7.8e-07;7.83e-06
