N;Time_Column_Major;Time_Row_Major;Time_Standart_K_times
10;0.00014208;0.00019991;0.00361707
100;0.00021646;0.00024255;0.0025561
300;0.00044779;0.00032421;0.00373251
600;0.00659042;0.00334247;0.00562344
1000;6.1e-07;6.2e-07;0.00022355
3000;6.1e-07;6.4e-07;6.568e-05
6000;6.1e-07;6.4e-07;6.376e-05
10000;6.1e-07;6.2e-07;6.646e-05
30000;6.1e-07;6.1e-07;6.48e-05
60000;6.3e-07;6.1e-07;6.387e-05
100000;1.84e-06;1.25e-06;6.492e-05
300000;7.7e-07;6.2e-07;6.347e-05
600000;6e-07;6.3e-07;6.731e-05
1000000;6.1e-07;6.2e-07;6.714e-05
