N;Time_Column_Major;Time_Row_Major;Time_Standart_K_times
10;0.00026209;0.00039096;0.00621745
100;0.00039377;0.00044387;0.00539836
300;1.55e-06;1.04e-06;0.00034196
600;9.1e-07;1.02e-06;0.00021404
1000;1.61e-06;2.04e-06;0.0002273
3000;1.54e-06;6.3e-07;0.00014928
6000;1.1e-06;6.2e-07;0.00014739
10000;7.9e-07;7.5e-07;0.00015121
30000;6e-07;6.1e-07;0.00013064
60000;8.4e-07;7.8e-07;0.0001483
100000;6e-07;6.1e-07;0.00014225
300000;6e-07;6.1e-07;0.00014155
600000;6.1e-07;6.2e-07;0.0001291
1000000;7.4e-07;6.2e-07;0.00012831
