N;Time_Column_Major;Time_Row_Major;Time_Standart_K_times
10;9.561e-05;0.00015352;0.00233615
100;0.00011161;0.00012996;0.00163167
300;6e-07;7.2e-07;0.00016174
600;6e-07;6.1e-07;3.292e-05
1000;6e-07;6.2e-07;3.323e-05
3000;5.9e-07;6e-07;3.293e-05
6000;7.4e-07;8.7e-07;3.36e-05
10000;8.7e-07;6.1e-07;3.24e-05
30000;6.1e-07;6.1e-07;3.399e-05
60000;6e-07;6.1e-07;3.353e-05
100000;8.9e-07;5.9e-07;3.226e-05
300000;6e-07;7.7e-07;3.327e-05
600000;6.2e-07;1.55e-06;3.459e-05
1000000;6.1e-07;6.5e-07;3.24e-05
